15:47:19:422	Application Starting
15:47:55:178	Upload Task starting
15:47:55:196	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
15:47:56:366	Upload Task event uploaded for counter1
15:47:59:015	Upload Task event uploaded for counter2
15:48:00:065	Upload Task event uploaded for counter1
15:48:01:226	Upload Task event uploaded for counter2
15:48:02:524	Upload Task event uploaded for counter34
15:48:03:841	Upload Task event uploaded for counter1
15:48:05:848	Upload Task event uploaded for counter2
