19:46:41:333	Application Starting
19:46:45:141	Upload Task starting
19:46:45:151	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
19:46:46:259	Upload Task event uploaded for counterdevice3
19:46:48:120	Upload Task event uploaded for counterdevice2
19:46:50:134	Upload Task event uploaded for counterdevice3
19:46:51:150	Upload Task event uploaded for counterdevice2
19:46:53:164	Upload Task event uploaded for counterdevice3
19:46:54:176	Upload Task cancellation request
19:46:54:187	Upload Task completed
