14:12:13:702	Application Starting
14:12:19:001	Upload Task starting
14:12:19:013	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Debug\Data/aircraftdemo_input_v4.csv
14:12:20:301	Upload Task event uploaded for counterdevice2
14:12:22:424	Upload Task event uploaded for counterdevice3
14:12:24:444	Upload Task event uploaded for counterdevice2
14:12:25:457	Upload Task event uploaded for counterdevice3
14:12:27:472	Upload Task event uploaded for counterdevice2
14:12:28:502	Upload Task event uploaded for counterdevice3
14:12:30:517	Upload Task event uploaded for counterdevice2
