12:38:49:224	Application Starting
12:38:59:898	Upload Task starting
12:38:59:914	Data File: C:\Users\ratella\Source\Repos\SimulatorLight\bin\Release\Data/backup.csv
12:39:01:058	Upload Task event uploaded for counterdevice_sea
12:39:11:560	Upload Task event uploaded for counterddevice_sea
12:39:15:608	Upload Task event uploaded for counterdevice_sea
12:39:24:659	Upload Task event uploaded for counterddevice_sea
12:39:28:688	Upload Task event uploaded for counterdevice_sea
12:39:39:199	Upload Task cancellation request
12:39:39:210	Upload Task completed
