14:35:58:249	Application Starting
14:36:07:109	Upload Task starting
14:36:07:120	Data File: C:\RaviTella\Source\Repos\SimulatorLight\bin\Release\Data/skype1.csv
14:36:08:388	Upload Task event uploaded for counter2019-05-30 14:01:58.777
14:36:12:031	Upload Task event uploaded for counter2019-04-01 21:24:26.180
14:36:15:047	Upload Task event uploaded for counter2019-05-28 13:45:20.997
14:36:18:058	Upload Task event uploaded for counter2019-05-02 17:59:22.357
14:36:21:070	Upload Task cancellation request
14:36:21:083	Upload Task completed
